ticker,date,piotroski_fscore,beneish_mscore,ohlson_oscore,altman_zscore,gross_margin,net_margin,roa,asset_turnover,current_ratio,debt_to_equity,fcf_yield,revenue_growth_yoy,eps_growth_yoy,rd_intensity,capex_to_sales,pe_ratio,ps_ratio,ev_ebitda,buyback_yield
AAPL,2020-06-30,,,,-0.13503166584079349,0.3799949736114602,0.18853983412917819,0.03545994252294041,0.18807666128869618,0.7396523135092888,3.3903599789712513,0.009257052237674946,,,,,0.0,0.0,140.07246676342524,0.012304338371401616
AAPL,2020-09-30,6.0,-2.573576646756673,0.0007544158763535181,-0.10071799286373732,0.3808317856941865,0.19235747650402385,0.07462509668887392,0.38795007111310725,0.7213013916248332,3.6594051779888246,0.01676175532335487,,,0.7071067811865441,0.7071067811865475,0.0,0.0,152.30345478443317,0.02035298817175531
AAPL,2020-12-31,6.0,-1.8447645541952191,0.0005783877959501756,-0.003551341021575699,0.3888398877119183,0.22339306765272113,0.15879154333528253,0.7108167903497086,0.7003757119573649,3.882562731487159,0.03028031438286097,-0.7071067811865475,0.7071067811865476,1.151107775344039,1.121066201847183,0.0,0.0,75.58385302638118,0.030413306266975863
AAPL,2021-03-31,5.0,-2.7153490587937483,0.0008422213494194965,0.06774948890910237,0.3988125603092752,0.2345101196658943,0.22908580022875258,0.9768695720045271,0.6657014662477387,3.8803360889009353,0.04375122197588411,-1.1156331877678525,-1.1498906432758627,0.9274011697793071,0.377665017180552,0.0,0.0,84.81808448351089,0.044034118142208784
AAPL,2021-06-30,3.0,-2.5204275297975625,0.0009400225575733232,0.06638482014067537,0.4100502657314456,0.25003816738920653,0.2581587282704061,1.032477285232055,0.6174448737823642,4.0748431256391004,0.04065108142465225,-1.1558548342319566,-1.1375310177155125,0.8495240229416674,0.17324366601188365,0.0,0.2,107.8186953527315,0.042113813440291116
AAPL,2021-09-30,3.0,-2.0617603491023706,0.0006025819376993219,0.1581873599727124,0.4177935962516778,0.2588179335569424,0.2760241214995911,1.0664798907331636,0.6678908936347833,4.221461951806129,0.03976633505502053,-0.9330556469288336,-0.9576887522619092,0.8114519174206679,1.536926657515562,0.0,0.16666666666666666,109.93021846884722,0.042968501933839165
AAPL,2021-12-31,7.0,-2.252034075129163,0.0006092918944058722,0.15859250095233604,0.4301906043248758,0.2657914004699688,0.2874661143475051,1.0815478372859746,0.6481897807148328,4.211527860548272,0.034722647141311215,-0.8294599369731205,-0.855673783761633,0.6291347697220404,-0.373788487084333,0.42857142857142855,0.42857142857142855,77.51658920338411,0.03281594075601718
AAPL,2022-03-31,4.0,-2.7375970041122093,0.000978975672059701,0.1463319400153607,0.4332218529235759,0.2640686809130168,0.2886256410619419,1.0929945954363822,0.6317715203860096,4.296924271000108,0.03667722053995679,-0.7601673455270354,-0.8283990960404196,0.40391407923989997,-0.29035465673782856,0.375,0.375,105.77177028953601,0.03483907790951006
AAPL,2022-06-30,4.0,-2.4142900314187585,0.0007503743369721825,0.20549675724581512,0.43314273033632483,0.25708955416445184,0.28082166684047793,1.0923106843183734,0.7002571624607639,4.447260946999939,0.048386943109643796,-0.7202920068370023,-0.8035665110092096,0.08720297609205037,-0.3371863816335804,0.0,0.0,108.90220983532674,0.044751917973355745
AAPL,2022-09-30,6.0,-2.279690358872338,0.0008093252157007222,0.18232394995626064,0.43309630561360085,0.2530964070519973,0.28095377844026076,1.1100662459524377,0.6750402203699104,4.726963846680908,0.04939349694387636,-0.6359576705211039,-0.6931144640679824,-0.09042899627173626,-0.555308741402907,0.1,0.0,102.41142186068932,0.046202330356509634
AAPL,2022-12-31,8.0,-2.519685702207473,0.0005581371869136199,0.24823851600427843,0.4305937239540999,0.2455791317990282,0.2745700781767838,1.1180513432284653,0.7587043615369985,4.952955067516799,0.047029451812995865,-0.6670759407421222,-0.7304467266357069,-0.7049223146971808,1.6598785341068643,0.0,0.0,65.56859284040426,0.04981654665161296
AAPL,2023-03-31,6.0,-2.6783615816407504,0.0006023164667650555,0.340652543072916,0.43181033251535333,0.2449291733208689,0.275798244261026,1.1260326425048484,0.9042360166735647,5.008727774263828,0.03730705664430595,-0.6011719613000015,-0.6115384035120331,-1.0568693702646936,1.9679056838729245,0.5,0.5,102.34675100642701,0.03838007938336261
AAPL,2023-06-30,5.0,-2.3815655089183743,0.0006394056056419794,0.3561817516645935,0.4344924765518984,0.2468138972164414,0.2773395770834858,1.1236789346601301,0.9318448796023165,4.946543329663971,0.033003572959020656,-0.5609837167256921,-0.5511258923558423,-1.461879322224286,1.6339343379141797,0.6923076923076923,0.6923076923076923,145.40821259979128,0.031355796365405815
AAPL,2023-09-30,6.0,-2.074172823557453,0.000573312557746843,0.3887940825215436,0.4413112957720756,0.2530623426432028,0.2839166120269764,1.121923590295991,0.980890674185512,4.663073703404406,0.03711290582945423,-0.45745687284884873,-0.3823247973314634,-1.7088139735588725,-0.17383273639731808,0.42857142857142855,0.5,109.9253655230079,0.03450079588248841
AAPL,2023-12-31,8.0,-2.5423139324963406,0.0003580909828692074,0.4187828543757896,0.4502678205679974,0.26163191653746637,0.2939295635679151,1.1234468923283052,1.0161964015339253,4.308897548303296,0.03563522654446184,-0.3693652513030421,-0.16454889127446204,-1.3338564868024843,-1.8872333546064313,0.6666666666666666,0.6666666666666666,81.18358659822158,0.031109340367104703
AAPL,2024-03-31,5.0,-2.4495915540403708,0.0004764211775114166,0.43466057715883255,0.4558582685005883,0.2630580441954494,0.2912895180864476,1.1073203215561904,1.0607923039634903,4.092259727978605,0.03843261423421725,-0.9279335962366956,-0.5729001515900545,-1.3277992966334453,-2.08214440048181,0.25,0.4375,104.97656986810036,0.03656526559767407
AAPL,2024-06-30,3.0,-2.4441009627931463,0.0005101076796614371,0.44930595148059804,0.4596203867708498,0.26440665658721535,0.29657338995869453,1.1216562918145325,1.0778441086072716,3.96168112344307,0.03227678870864552,0.07251338131689183,0.040349505626631574,-1.1915974527537314,-1.6605350868515085,0.7058823529411765,0.7647058823529411,138.3372364507731,0.03280824408967709
AAPL,2024-09-30,4.0,-2.131408117401101,0.0008293814614662504,0.3943230965818797,0.4620634981523393,0.23971255769943867,0.2702265990254534,1.1272942962140284,1.0347860900750532,4.102065805730423,0.030636178892866576,0.5789678784075633,-2.1251882660490558,-1.0406146757240242,-0.962429594388862,0.7777777777777778,0.7777777777777778,129.44734767327904,0.03102361152272113
AAPL,2024-12-31,7.0,-2.463148436512049,0.00038472436504877677,0.39812638960646923,0.46518849807964424,0.24295027289266222,0.27908232275442496,1.148721997434126,1.0160111519338109,4.207996674350931,0.025908523283332444,0.7039990239160946,0.8601866525230284,-0.97876662641746,-0.5388054382401238,0.7894736842105263,0.7894736842105263,95.07959267136721,0.029962734467008978
AAPL,2025-03-31,4.0,-2.528537930566941,0.0006046452642989134,0.3804342850478529,0.46632081645294554,0.2430126434312604,0.28367458506753357,1.1673243871682544,0.9652300524170064,4.333771363699983,0.02944786679053448,0.7866884363893072,0.45404910728718434,-0.981138702517143,0.22580967061212046,0.7,0.65,122.44730552874378,0.034810831463229344
ABBV,2020-06-30,,,,-0.03411489333244165,0.6440287769784173,-0.07079136690647482,-0.004935464455293252,0.07010406367949798,0.8624523249208796,9.15001357588922,0.018008384040663326,,,,,0.0,0.0,184.73548909657322,0.011119187673459019
ABBV,2020-09-30,7.0,-2.457229529781814,0.0009818730721768759,-0.003604868444364218,0.6244266300853089,0.0673039825095383,0.01049637139772222,0.1559546850921441,0.9065680873287321,8.9647246927151,0.05486384563315323,,,0.7071067811865485,-0.7071067811865476,0.5,0.0,87.86353333333334,0.025163359111510752
ABBV,2020-12-31,5.0,-2.424633818772609,0.0032769513717377605,-0.009149774524366465,0.6384294742503698,0.04318945811483125,0.010713428030134572,0.24805655124567502,0.8832077224860625,9.429890069112668,0.06841550984830819,-0.7071067811865476,0.7071067811865476,0.9075827352104594,1.152228357899354,0.6666666666666666,0.0,77.28898999448515,0.03181060080046146
